çÏã∆ì˙,êîó 
2019-08-11,0.0
2019-08-12,32631.0
2019-08-13,29626.0
2019-08-14,24632.0
2019-08-15,32259.0
2019-08-16,30006.0
2019-08-17,11077.0
2019-08-18,0.0
2019-08-19,36880.0
2019-08-20,30637.0
2019-08-21,39426.0
2019-08-22,53846.0
2019-08-23,32623.0
2019-08-24,10992.0
2019-08-25,0.0
2019-08-26,69042.0
2019-08-27,41821.0
2019-08-28,108744.0
2019-08-29,0.0
2019-08-30,0.0
2019-08-31,0.0
2019-09-01,0.0
2019-09-02,44064.0
2019-09-03,34052.0
2019-09-04,56618.0
2019-09-05,60097.0
2019-09-06,41966.0
2019-09-07,10572.0
2019-09-08,0.0
2019-09-09,47957.0
2019-09-10,37191.0
2019-09-11,51961.0
2019-09-12,64810.0
2019-09-13,50038.0
2019-09-14,17163.0
2019-09-15,0.0
2019-09-16,41750.0
2019-09-17,32573.0
2019-09-18,38518.0
2019-09-19,37972.0
2019-09-20,54399.0
2019-09-21,15301.0
2019-09-22,0.0
2019-09-23,50223.0
2019-09-24,33290.0
2019-09-25,42799.0
2019-09-26,51274.0
2019-09-27,49642.0
2019-09-28,18212.0
2019-09-29,0.0
2019-09-30,75053.0
2019-10-01,51039.0
2019-10-02,53989.0
2019-10-03,48067.0
2019-10-04,39819.0
2019-10-05,15676.0
2019-10-06,0.0
2019-10-07,36884.0
2019-10-08,30165.0
2019-10-09,37052.0
2019-10-10,35717.0
2019-10-11,39598.0
2019-10-12,15639.0
2019-10-13,0.0
2019-10-14,33275.0
2019-10-15,21462.0
2019-10-16,28597.0
2019-10-17,30965.0
2019-10-18,29348.0
2019-10-19,12849.0
2019-10-20,0.0
2019-10-21,52444.0
2019-10-22,34126.0
2019-10-23,39353.0
2019-10-24,36171.0
2019-10-25,28529.0
2019-10-26,7048.0
2019-10-27,0.0
2019-10-28,26446.0
2019-10-29,28050.0
2019-10-30,38961.0
2019-10-31,48771.0
2019-11-01,36732.0
2019-11-02,13166.0
2019-11-03,0.0
2019-11-04,65129.0
2019-11-05,42998.0
2019-11-06,36978.0
2019-11-07,30025.0
2019-11-08,25681.0
2019-11-09,6871.0
2019-11-10,0.0
2019-11-11,37049.0
2019-11-12,29672.0
2019-11-13,0.0
2019-11-14,42211.0
2019-11-15,34172.0
2019-11-16,12377.0
2019-11-17,0.0
2019-11-18,38996.0
2019-11-19,34791.0
2019-11-20,64171.0
2019-11-21,59291.0
2019-11-22,65470.0
2019-11-23,10289.0
2019-11-24,0.0
2019-11-25,29716.0
2019-11-26,28170.0
2019-11-27,47137.0
2019-11-28,56707.0
2019-11-29,53244.0
2019-11-30,18956.0
2019-12-01,0.0
2019-12-02,52646.0
2019-12-03,36929.0
2019-12-04,88338.0
2019-12-05,65723.0
2019-12-06,38239.0
2019-12-07,6964.0
2019-12-08,0.0
2019-12-09,28560.0
2019-12-10,24736.0
2019-12-11,46628.0
2019-12-12,40950.0
2019-12-13,30836.0
2019-12-14,7715.0
2019-12-15,0.0
2019-12-16,32342.0
2019-12-17,35849.0
2019-12-18,36408.0
2019-12-19,43773.0
2019-12-20,39818.0
2019-12-21,17781.0
2019-12-22,0.0
2019-12-23,54510.0
2019-12-24,44163.0
2019-12-25,49444.0
2019-12-26,45585.0
2019-12-27,43659.0
2019-12-28,9854.0
2019-12-29,0.0
2019-12-30,31576.0
2019-12-31,0.0
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,14508.0
2020-01-05,0.0
2020-01-06,48999.0
2020-01-07,33203.0
2020-01-08,36107.0
2020-01-09,34474.0
2020-01-10,33338.0
2020-01-11,12917.0
2020-01-12,0.0
2020-01-13,46713.0
2020-01-14,37546.0
2020-01-15,49882.0
2020-01-16,44088.0
2020-01-17,50103.0
2020-01-18,16532.0
2020-01-19,0.0
2020-01-20,30632.0
2020-01-21,29026.0
2020-01-22,52208.0
2020-01-23,46301.0
2020-01-24,36053.0
2020-01-25,7649.0
2020-01-26,0.0
2020-01-27,59962.0
2020-01-28,36034.0
2020-01-29,33004.0
2020-01-30,51278.0
2020-01-31,57514.0
2020-02-01,17028.0
2020-02-02,0.0
2020-02-03,45859.0
2020-02-04,44521.0
2020-02-05,54540.0
2020-02-06,37248.0
2020-02-07,47945.0
2020-02-08,12144.0
2020-02-09,0.0
2020-02-10,40183.0
2020-02-11,32159.0
2020-02-12,34879.0
2020-02-13,35133.0
2020-02-14,28326.0
2020-02-15,7409.0
2020-02-16,0.0
2020-02-17,27829.0
2020-02-18,33098.0
2020-02-19,38480.0
2020-02-20,51647.0
2020-02-21,68518.0
2020-02-22,13448.0
2020-02-23,0.0
2020-02-24,99558.0
2020-02-25,63938.0
2020-02-26,56593.0
2020-02-27,71988.0
2020-02-28,47784.0
